C AbsTime		0
C ParcPower		1
C ---------------------------------------------------------------------
C                         U   Np   Pu   Am   Cm   MA   PF
C ---------------------------------------------------------------------
C                STOCK    2    3    4    5    6    7    8
C      FUELFABRICATION    9   10   11   12   13   14   15
C              COOLING   16   17   18   19   20   21   22
C              REACTOR   23   24   25   26   27   28   29
C              INCYCLE   30   31   32   33   34   35   36
C ---------------------------------------------------------------------
C                         U   Np   Pu   Am   Cm   MA   PF
C ---------------------------------------------------------------------
C                TOTAL   37   38   39   40   41   42   43
C            OUTINCOME   44   45   46   47   48   49   50
C                WASTE   51   52   53   54   55   56   57
C           S_StockUOx   58   59   60   61   62   63   64
C            R_PWR_UOx   65   66   67   68   69   70   71
C            F_Fab_UOX   72   73   74   75   76   77   78
C ---------------------------------------------------------------------
C                         U   Np   Pu   Am   Cm   MA   PF
C ---------------------------------------------------------------------
C ---------------------------------------------------------------------
C
C
C
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
8.33333e-02	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.98364e+01	1.91332e-03	4.82779e-02	1.03913e-05	7.83534e-07	1.92450e-03	0.00000e+00	8.98364e+01	1.91332e-03	4.82779e-02	1.03913e-05	7.83534e-07	1.92450e-03	0.00000e+00	8.98364e+01	1.91332e-03	4.82779e-02	1.03913e-05	7.83534e-07	1.92450e-03	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.98364e+01	1.91332e-03	4.82779e-02	1.03913e-05	7.83534e-07	1.92450e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
1.66667e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.96729e+01	3.82664e-03	9.65559e-02	2.07826e-05	1.56707e-06	3.84899e-03	0.00000e+00	8.96729e+01	3.82664e-03	9.65559e-02	2.07826e-05	1.56707e-06	3.84899e-03	0.00000e+00	8.96729e+01	3.82664e-03	9.65559e-02	2.07826e-05	1.56707e-06	3.84899e-03	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.96729e+01	3.82664e-03	9.65559e-02	2.07826e-05	1.56707e-06	3.84899e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
2.50000e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.95093e+01	5.73996e-03	1.44834e-01	3.11738e-05	2.35060e-06	5.77349e-03	0.00000e+00	8.95093e+01	5.73996e-03	1.44834e-01	3.11738e-05	2.35060e-06	5.77349e-03	0.00000e+00	8.95093e+01	5.73996e-03	1.44834e-01	3.11738e-05	2.35060e-06	5.77349e-03	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.95093e+01	5.73996e-03	1.44834e-01	3.11738e-05	2.35060e-06	5.77349e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
3.33333e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.93458e+01	7.65329e-03	1.93112e-01	4.15651e-05	3.13414e-06	7.69798e-03	0.00000e+00	8.93458e+01	7.65329e-03	1.93112e-01	4.15651e-05	3.13414e-06	7.69798e-03	0.00000e+00	8.93458e+01	7.65329e-03	1.93112e-01	4.15651e-05	3.13414e-06	7.69798e-03	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.93458e+01	7.65329e-03	1.93112e-01	4.15651e-05	3.13414e-06	7.69798e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
4.16667e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.91822e+01	9.56661e-03	2.41390e-01	5.19564e-05	3.91767e-06	9.62248e-03	0.00000e+00	8.91822e+01	9.56661e-03	2.41390e-01	5.19564e-05	3.91767e-06	9.62248e-03	0.00000e+00	8.91822e+01	9.56661e-03	2.41390e-01	5.19564e-05	3.91767e-06	9.62248e-03	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.91822e+01	9.56661e-03	2.41390e-01	5.19564e-05	3.91767e-06	9.62248e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
5.00000e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.90284e+01	1.09604e-02	2.80962e-01	1.48229e-04	1.75724e-05	1.11262e-02	0.00000e+00	8.90284e+01	1.09604e-02	2.80962e-01	1.48229e-04	1.75724e-05	1.11262e-02	0.00000e+00	8.90284e+01	1.09604e-02	2.80962e-01	1.48229e-04	1.75724e-05	1.11262e-02	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.90284e+01	1.09604e-02	2.80962e-01	1.48229e-04	1.75724e-05	1.11262e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
5.83333e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.88760e+01	1.22726e-02	3.19166e-01	2.57993e-04	3.32490e-05	1.25638e-02	0.00000e+00	8.88760e+01	1.22726e-02	3.19166e-01	2.57993e-04	3.32490e-05	1.25638e-02	0.00000e+00	8.88760e+01	1.22726e-02	3.19166e-01	2.57993e-04	3.32490e-05	1.25638e-02	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.88760e+01	1.22726e-02	3.19166e-01	2.57993e-04	3.32490e-05	1.25638e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
6.66667e-01	3.60000e+09	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.87237e+01	1.35847e-02	3.57371e-01	3.67756e-04	4.89256e-05	1.40014e-02	0.00000e+00	8.87237e+01	1.35847e-02	3.57371e-01	3.67756e-04	4.89256e-05	1.40014e-02	0.00000e+00	8.87237e+01	1.35847e-02	3.57371e-01	3.67756e-04	4.89256e-05	1.40014e-02	0.00000e+00	9.00000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.87237e+01	1.35847e-02	3.57371e-01	3.67756e-04	4.89256e-05	1.40014e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
